dv1,dv2,of1,of2,of3
5.38E+000,1.97E+000,0.617319,0.00658967,0.100748
2.40E+000,5.98E+000,0.371265,0.00386663,0.0932652
2.55E+000,3.99E+000,0.303265,0.00471644,0.0652136
4.08E+000,2.89E+000,0.483524,0.00451893,0.0916055
1.98E+000,2.95E+000,0.228924,0.00341306,0.0434032
1.09E+000,4.26E+000,0.147701,0.00358678,0.0325229
2.28E+000,5.16E+000,0.32764,0.0036458,0.0782611
3.19E+000,4.86E+000,0.433477,0.00397291,0.101071
2.09E+000,5.66E+000,0.313284,0.00381699,0.0771384
2.80E+000,4.93E+000,0.396343,0.00375472,0.093132
3.47E+000,5.54E+000,0.506127,0.00433163,0.123053
1.31E+000,3.06E+000,0.160795,0.00372824,0.0312874
7.30E+000,5.88E+000,1.09393,0.00621427,0.272825
3.88E+000,4.73E+000,0.528649,0.0040154,0.121908
7.06E+000,1.30E+000,0.787188,0.0106095,0.113181
4.61E+000,3.97E+000,0.579743,0.00449266,0.124819
6.51E+000,2.47E+000,0.7533,0.00681935,0.133751
4.01E+000,3.35E+000,0.484282,0.00435258,0.0974481
4.71E+000,3.20E+000,0.575467,0.00472183,0.11375
5.62E+000,2.99E+000,0.672241,0.00506832,0.129022
7.97E+000,3.44E+000,0.962246,0.00688882,0.195355
1.74E+000,5.03E+000,0.251872,0.00365795,0.0594795
6.22E+000,3.58E+000,0.772566,0.00540564,0.159721
5.57E+000,5.79E+000,0.839926,0.0053538,0.208591
3.73E+000,5.95E+000,0.574916,0.00455026,0.143466
6.96E+000,4.08E+000,0.893945,0.00575139,0.194748
7.60E+000,5.10E+000,1.04975,0.00638273,0.248782
3.06E+000,3.65E+000,0.381245,0.0041165,0.0798542
5.97E+000,4.48E+000,0.785495,0.00499614,0.177473
2.97E+000,1.82E+000,0.341119,0.00435284,0.0541011
7.42E+000,2.94E+000,0.878185,0.00676385,0.16704
4.57E+000,4.31E+000,0.601725,0.00458861,0.134022
6.68E+000,4.02E+000,0.850017,0.00551937,0.18421
1.23E+000,2.17E+000,0.139634,0.00369273,0.0235267
3.13E+000,2.70E+000,0.344307,0.00494575,0.0624528
6.88E+000,2.28E+000,0.785636,0.00798532,0.134366
1.42E+000,5.57E+000,0.211371,0.00366727,0.0516679
6.41E+000,1.42E+000,0.718886,0.00919798,0.102702
4.95E+000,3.70E+000,0.620955,0.00472399,0.130103
6.30E+000,5.72E+000,0.945,0.00565265,0.233703
5.23E+000,4.13E+000,0.676453,0.00479473,0.148103
4.42E+000,2.80E+000,0.5174,0.00474291,0.0966413
4.68E+000,1.04E+000,0.510168,0.00548327,0.0665036
5.08E+000,3.15E+000,0.607972,0.00507892,0.118618
2.93E+000,3.86E+000,0.373286,0.00403311,0.0797137
1.58E+000,4.65E+000,0.202184,0.00367698,0.046118
5.99E+000,1.72E+000,0.678367,0.00809129,0.103941
7.53E+000,5.59E+000,1.10196,0.00629203,0.270522
1.65E+000,4.56E+000,0.225404,0.0036595,0.0514577
2.49E+000,1.70E+000,0.280629,0.00413248,0.0429471
4.29E+000,5.00E+000,0.603704,0.00448411,0.1423
5.16E+000,4.43E+000,0.675874,0.00479725,0.151896
2.72E+000,4.30E+000,0.358434,0.00381974,0.0797646
3.26E+000,4.39E+000,0.427684,0.00413141,0.0958692
6.11E+000,3.11E+000,0.733094,0.0054457,0.14309
4.19E+000,5.44E+000,0.609194,0.00428096,0.147824
3.52E+000,1.92E+000,0.372418,0.00557168,0.0576857
5.74E+000,3.91E+000,0.718092,0.00518379,0.153837
7.36E+000,5.06E+000,1.01933,0.00623193,0.241402
6.61E+000,4.20E+000,0.861557,0.00550133,0.190104
2.64E+000,1.11E+000,0.292954,0.00503437,0.0384433
5.47E+000,4.84E+000,0.74939,0.00473995,0.174484
3.39E+000,1.22E+000,0.358101,0.00663352,0.0470239
3.78E+000,2.63E+000,0.454295,0.00507747,0.0832427
2.16E+000,2.29E+000,0.239519,0.00386806,0.040708
6.16E+000,5.50E+000,0.892422,0.00559686,0.21769
5.44E+000,5.42E+000,0.791011,0.00498362,0.191699
3.64E+000,5.26E+000,0.514737,0.00431793,0.123394
5.75E+000,3.38E+000,0.704696,0.00538639,0.142518
2.23E+000,5.33E+000,0.324973,0.00350689,0.0785113
2.36E+000,2.41E+000,0.273065,0.00401765,0.0479484
1.87E+000,3.55E+000,0.222555,0.00354138,0.0457607
5.00E+000,1.18E+000,0.542092,0.00507232,0.0725536
1.50E+000,1.54E+000,0.159653,0.00370631,0.022439
1.05E+000,1.28E+000,0.106321,0.00358308,0.0135324
7.18E+000,3.12E+000,0.856723,0.00622188,0.166763
6.45E+000,1.83E+000,0.731659,0.00766459,0.115655
3.36E+000,2.83E+000,0.397884,0.00407112,0.0747562
7.93E+000,4.55E+000,1.05334,0.0063934,0.239276
5.31E+000,5.85E+000,0.792741,0.00512185,0.197314
2.79E+000,3.26E+000,0.315443,0.00481832,0.0621428
4.33E+000,2.06E+000,0.498069,0.00512112,0.0827967
7.71E+000,4.68E+000,1.03656,0.0062326,0.238596
4.78E+000,3.49E+000,0.588175,0.00462752,0.120412
7.22E+000,2.61E+000,0.845494,0.00719094,0.153888
4.41E+000,5.81E+000,0.670656,0.00469022,0.166601
2.61E+000,2.15E+000,0.292859,0.00395829,0.0488465
5.87E+000,2.76E+000,0.692342,0.00595331,0.128726
4.49E+000,1.47E+000,0.509683,0.00685561,0.0748377
